Syllable	category	barva	poradi	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
J100	J	#327000	80	1	1	0	0	0	0	0	0	0	0	0	0
J1012	J	#327000	86	0	1	0	0	0	0	1	0	0	0	0	0
J102	J	#327000	89	0	0	1	0	0	0	0	0	0	0	0	0
J103	J	#327000	83	1	0	0	0	0	1	0	0	0	0	0	0
J104	J	#327000	90	0	0	1	0	0	1	0	0	0	1	2	0
J105	J	#327000	98	0	0	0	0	0	1	2	1	1	1	0	0
J107	J	#327000	85	0	1	1	1	0	0	0	0	0	0	0	0
J110	J	#327000	100	1	0	0	0	0	0	0	0	0	0	0	0
J1110	J	#327000	84	1	1	0	0	0	0	0	0	0	0	0	0
J112	J	#327000	78	0	0	0	0	0	0	0	1	0	0	0	0
J1120	J	#327000	88	0	0	1	0	0	0	0	0	0	1	0	0
J115	J	#327000	95	0	0	0	0	1	1	0	0	0	1	0	0
J131	J	#327000	99	1	0	0	0	0	0	0	0	0	0	0	0
J1322	J	#327000	91	0	0	0	0	0	0	0	0	0	0	0	1
J1716	J	#327000	74	0	0	0	0	0	1	1	0	0	0	0	0
J1817	J	#327000	96	0	0	0	0	0	0	1	1	0	0	0	0
J2	J	#327000	77	3	3	2	2	2	3	2	3	3	2	2	3
J20	J	#327000	93	1	0	0	0	0	0	0	0	0	0	0	0
J200	J	#327000	92	1	1	1	0	0	0	0	0	0	0	1	2
J21	J	#327000	81	1	0	0	0	0	0	0	0	0	0	0	0
J23	J	#327000	97	0	0	1	1	1	1	0	0	0	0	0	0
J3	J	#327000	76	2	2	2	2	2	2	3	3	4	4	4	4
J33	J	#327000	106	1	2	2	3	3	2	2	3	2	1	2	0
J34	J	#327000	105	2	1	0	0	0	0	0	2	0	0	0	1
J416	J	#327000	94	0	0	0	0	0	1	1	0	0	0	0	0
J44	J	#327000	87	0	0	0	0	0	0	0	0	1	1	2	2
J817	J	#327000	75	0	0	0	0	0	0	1	1	2	1	0	0
L	L	#000000	1	4	4	4	3	4	3	4	3	2	3	2	1
M	M	#000000	5	5	5	5	5	5	5	5	4	5	5	5	4
N_1	N	#000000	3	5	5	5	5	5	5	5	5	5	5	5	4
N_2	N	#000000	4	1	0	0	0	0	0	0	0	0	0	0	0
